MS,Mississippi,Jackson,$3.925,https://www.gasbuddy.com/usa/ms
TX,Texas,Houston,$3.830,https://www.gasbuddy.com/usa/tx
TX,Texas,College Station,$3.886,https://www.gasbuddy.com/usa/tx
TX,Texas,Corpus Christi,$3.942,https://www.gasbuddy.com/usa/tx
TX,Texas,Rio Grande Valley,$3.949,https://www.gasbuddy.com/usa/tx
TX,Texas,Amarillo,$3.951,https://www.gasbuddy.com/usa/tx
TX,Texas,San Antonio,$3.955,https://www.gasbuddy.com/usa/tx
TX,Texas,Austin,$3.965,https://www.gasbuddy.com/usa/tx
TX,Texas,Fort Worth,$3.967,https://www.gasbuddy.com/usa/tx
TX,Texas,Waco,$3.968,https://www.gasbuddy.com/usa/tx
TX,Texas,Laredo,$3.970,https://www.gasbuddy.com/usa/tx
TX,Texas,Dallas,$3.981,https://www.gasbuddy.com/usa/tx
TX,Texas,Lubbock,$4.020,https://www.gasbuddy.com/usa/tx
TX,Texas,Midland Odessa,$4.133,https://www.gasbuddy.com/usa/tx
TX,Texas,El Paso,$4.398,https://www.gasbuddy.com/usa/tx
LA,Louisiana,Shreveport,$3.969,https://www.gasbuddy.com/usa/la
LA,Louisiana,New Orleans,$3.978,https://www.gasbuddy.com/usa/la
LA,Louisiana,Baton Rouge,$3.993,https://www.gasbuddy.com/usa/la
AL,Alabama,Huntsville,$3.976,https://www.gasbuddy.com/usa/al
AL,Alabama,Montgomery,$3.985,https://www.gasbuddy.com/usa/al
AL,Alabama,Birmingham,$3.989,https://www.gasbuddy.com/usa/al
AL,Alabama,Mobile,$3.996,https://www.gasbuddy.com/usa/al
OK,Oklahoma,Tulsa,$3.984,https://www.gasbuddy.com/usa/ok
OK,Oklahoma,Oklahoma City,$3.996,https://www.gasbuddy.com/usa/ok
IN,Indiana,Evansville,$3.782,https://www.gasbuddy.com/usa/in
IN,Indiana,Indianapolis,$3.973,https://www.gasbuddy.com/usa/in
IN,Indiana,South Bend,$4.048,https://www.gasbuddy.com/usa/in
IN,Indiana,Fort Wayne,$4.082,https://www.gasbuddy.com/usa/in
IN,Indiana,Gary,$4.167,https://www.gasbuddy.com/usa/in
GA,Georgia,Atlanta,$4.025,https://www.gasbuddy.com/usa/ga
GA,Georgia,Macon,$4.038,https://www.gasbuddy.com/usa/ga
GA,Georgia,Savannah,$4.156,https://www.gasbuddy.com/usa/ga
GA,Georgia,Augusta,$4.172,https://www.gasbuddy.com/usa/ga
TN,Tennessee,Memphis,$4.028,https://www.gasbuddy.com/usa/tn
TN,Tennessee,Chattanooga,$4.073,https://www.gasbuddy.com/usa/tn
TN,Tennessee,Knoxville,$4.094,https://www.gasbuddy.com/usa/tn
TN,Tennessee,Nashville,$4.158,https://www.gasbuddy.com/usa/tn
AR,Arkansas,Little Rock,$4.002,https://www.gasbuddy.com/usa/ar
SC,South Carolina,Myrtle Beach,$4.011,https://www.gasbuddy.com/usa/sc
SC,South Carolina,Spartanburg,$4.075,https://www.gasbuddy.com/usa/sc
SC,South Carolina,Columbia,$4.094,https://www.gasbuddy.com/usa/sc
SC,South Carolina,Greenville,$4.116,https://www.gasbuddy.com/usa/sc
KS,Kansas,Topeka,$4.083,https://www.gasbuddy.com/usa/ks
KS,Kansas,Wichita,$4.091,https://www.gasbuddy.com/usa/ks
NC,North Carolina,Fayetteville,$4.098,https://www.gasbuddy.com/usa/nc
